book_id,book_title,pub_year,hist_year,page,race,sentence,sentiment_vader,trf_label,trf_confidence,sentiment_trf_signed
openstax_us_history,U.S. History (OpenStax),2014,1885,6,Black/African American,332 12.2 African Americans in the Antebellum United States .,0.4215,POSITIVE,0.9580121040344238,0.9580121040344238
openstax_us_history,U.S. History (OpenStax),2014,1885,6,Indigenous/Native,495 17.4 The Loss of American Indian Life and Culture .,-0.3182,NEGATIVE,0.9978072047233582,-0.9978072047233582
openstax_us_history,U.S. History (OpenStax),2014,1885,6,Asian/Asian American,500 17.5 The Impact of Expansion on Chinese Immigrants and Hispanic Citizens .,0.0,POSITIVE,0.985805332660675,0.985805332660675
openstax_us_history,U.S. History (OpenStax),2014,1885,6,Latino/Hispanic,500 17.5 The Impact of Expansion on Chinese Immigrants and Hispanic Citizens .,0.0,POSITIVE,0.985805332660675,0.985805332660675
openstax_us_history,U.S. History (OpenStax),2014,1885,6,Black/African American,546 19.2 The African American “Great Migration” and New European Immigration .,0.0,POSITIVE,0.9673897624015808,0.9673897624015808
openstax_us_history,U.S. History (OpenStax),2014,1974,7,Black/African American,612 21.3 New Voices for Women and African Americans .,0.0,POSITIVE,0.9952448010444641,0.9952448010444641
openstax_us_history,U.S. History (OpenStax),2014,1974,7,Black/African American,848 28.5 The African American Struggle for Civil Rights .,-0.3182,POSITIVE,0.924530565738678,0.924530565738678
openstax_us_history,U.S. History (OpenStax),2014,1193,23,Indigenous/Native,"Click and Explore Browse theBritish Museum’s World Cultures collection (http://openstaxcollege.org/l/inca)to see more examples and descriptions of Incan (as well as Aztec, Mayan, and North American Indian) art.",0.2732,POSITIVE,0.9672039151191711,0.9672039151191711
openstax_us_history,U.S. History (OpenStax),2014,1193,23,Indigenous/Native,"NORTH AMERICAN INDIANS With few exceptions, the North American native cultures were much more widely dispersed than the Mayan, Aztec, and Incan societies, and did not have their population size or organized social structures.",0.0,NEGATIVE,0.9982075691223145,-0.9982075691223145
openstax_us_history,U.S. History (OpenStax),2014,1193,25,Indigenous/Native,"Figure 1.11 This map indicates the locations of the three Pueblo cultures the major Eastern Woodland Indian tribes, and the tribes of the Southeast, as well as the location of the ancient city of Cahokia.",0.2732,POSITIVE,0.965315580368042,0.965315580368042
