race,decade,sentiment
Asian/Asian American,1830,-0.9888073801994324
Asian/Asian American,1860,-0.9220802783966064
Asian/Asian American,1870,-0.3327928344408671
Asian/Asian American,1880,0.8766343295574188
Asian/Asian American,1890,0.9928907155990601
Asian/Asian American,1900,-0.924443781375885
Asian/Asian American,1910,0.7531501054763794
Asian/Asian American,1930,-0.22389058272043863
Asian/Asian American,1940,-0.5034262963703701
Asian/Asian American,1950,0.5819941759109497
Asian/Asian American,1970,0.02071031928062439
Black/African American,1770,0.17172894307545253
Black/African American,1780,-0.9656231105327606
Black/African American,1790,-0.11667792871594429
Black/African American,1800,0.9179990092913309
Black/African American,1820,0.6505226813829862
Black/African American,1830,0.0021015758867617006
Black/African American,1840,0.1499361188515373
Black/African American,1850,-0.09649595076387579
Black/African American,1860,-0.23161451615296402
Black/African American,1870,-0.0029885341536323978
Black/African American,1880,-0.13411993497893923
Black/African American,1890,0.014207042753696442
Black/African American,1900,-0.1565411194922432
Black/African American,1910,0.17191444775637457
Black/African American,1920,0.2182825701992686
Black/African American,1930,-0.06620496406889799
Black/African American,1940,-0.1493340866132216
Black/African American,1950,-0.2113031135762439
Black/African American,1970,0.030466720461845398
Black/African American,1990,0.12518949641121757
Indigenous/Native,1770,-0.6071103562911352
Indigenous/Native,1780,-0.9031713803609213
Indigenous/Native,1790,0.3480422596136729
Indigenous/Native,1800,0.9948859810829163
Indigenous/Native,1810,0.9973368644714355
Indigenous/Native,1820,-0.3780406614144643
Indigenous/Native,1830,0.16355286041895548
Indigenous/Native,1840,-0.020889853729921228
Indigenous/Native,1860,0.9721595048904419
Indigenous/Native,1870,-0.4116484678309897
Indigenous/Native,1880,-0.3311115900675456
Indigenous/Native,1890,0.26133181651433307
Indigenous/Native,1900,0.015027254819869995
Indigenous/Native,1930,0.0035543888807296753
Indigenous/Native,1950,0.6124697327613831
Indigenous/Native,1970,0.27777602275212604
Indigenous/Native,2010,0.2134267121553421
Latino/Hispanic,1830,0.006379485130310059
Latino/Hispanic,1840,-0.32903556029001874
Latino/Hispanic,1870,-0.4974295844634374
Latino/Hispanic,1880,-0.41197351217269895
Latino/Hispanic,1900,0.3908569812774658
Latino/Hispanic,1920,0.9943810105323792
Latino/Hispanic,1930,-0.4319430887699127
Latino/Hispanic,1940,-0.6626034259796143
Latino/Hispanic,1950,0.4511254688967829
Latino/Hispanic,1970,0.0436977744102478
Latino/Hispanic,1990,-0.2755780274217779
Latino/Hispanic,2010,-0.998435914516449
White/European American,1770,-0.6288484831651052
White/European American,1780,-0.4630672186613083
White/European American,1790,-0.36571160646585316
White/European American,1800,-0.23776864260435104
White/European American,1810,-0.9964110255241394
White/European American,1820,-0.2272048755125566
White/European American,1830,-0.4521557938408207
White/European American,1840,-0.6126529530242637
White/European American,1850,0.13970193763573965
White/European American,1860,-0.4634831488132477
White/European American,1870,-0.6357569453807977
White/European American,1880,-0.6476183208552274
White/European American,1890,-0.5832359313964843
White/European American,1900,-0.5550086528062821
White/European American,1910,-0.969652533531189
White/European American,1920,0.0864678133617748
White/European American,1930,-0.3479932030042013
White/European American,1940,-0.04209858179092407
White/European American,1950,-0.41702432930469513
White/European American,1970,0.26570281982421873
White/European American,1990,0.4977515786886215
White/European American,2010,-0.998435914516449
