race,decade,sentiment_vader,sentiment_transformer,n_sentences
Asian/Asian American,1830,-0.2732,-0.982862114906311,1
Asian/Asian American,1860,0.4215,-0.9220802783966064,1
Asian/Asian American,1870,-0.05536,-0.3327928344408671,15
Asian/Asian American,1880,0.23835,0.8766343295574188,2
Asian/Asian American,1890,0.4215,0.9928907155990601,1
Asian/Asian American,1900,-0.6213,-0.924443781375885,2
Asian/Asian American,1910,0.2732,0.7531501054763794,1
Asian/Asian American,1930,-0.5795333333333333,-0.22389058272043863,3
Asian/Asian American,1940,-0.3783285714285714,-0.5034262963703701,7
Asian/Asian American,1950,-0.48597999999999997,0.5819941759109497,5
Asian/Asian American,1970,0.0,0.02071031928062439,2
Black/African American,1770,-0.1581,0.034768869479497276,6
Black/African American,1780,0.11133333333333333,-0.9575113654136658,3
Black/African American,1790,-0.01408666666666667,-0.19004917939503987,15
Black/African American,1800,-0.23886666666666667,0.9179990092913309,3
Black/African American,1820,0.27358333333333335,0.7844470143318176,12
Black/African American,1830,0.22422608695652177,0.08817462299181067,23
Black/African American,1840,0.17768947368421054,0.2847658834959331,19
Black/African American,1850,-0.34647727272727274,-0.09649595076387579,22
Black/African American,1860,0.018290909090909083,-0.23161451615296402,77
Black/African American,1870,0.132336,0.05150339305400849,100
Black/African American,1880,-0.06150499999999999,-0.09120197892189026,40
Black/African American,1890,-0.1020375,0.014207042753696442,8
Black/African American,1900,-0.014173015873015872,-0.1565411194922432,63
Black/African American,1910,-0.17723529411764707,0.17191444775637457,17
Black/African American,1920,0.07423421052631579,0.31173299174559743,38
Black/African American,1930,-0.04752777777777778,-0.050315507032253126,54
Black/African American,1940,-0.23475238095238096,-0.1094802873475211,21
Black/African American,1950,-0.01368507462686567,-0.20242645535896073,134
Black/African American,1970,0.170825,0.030466720461845398,8
Black/African American,1990,0.059957142857142855,0.4284305487360273,7
Indigenous/Native,1770,-0.10443333333333334,-0.6071103562911352,12
Indigenous/Native,1780,-0.4517333333333333,-0.9031713803609213,3
Indigenous/Native,1790,0.12079444444444443,0.3480422596136729,18
Indigenous/Native,1800,0.1779,0.9948859810829163,1
Indigenous/Native,1810,0.31245,0.9973368644714355,2
Indigenous/Native,1820,-0.19948333333333332,-0.3780406614144643,6
Indigenous/Native,1830,0.09540416666666668,0.16355286041895548,24
Indigenous/Native,1840,0.04438823529411766,-0.020889853729921228,17
Indigenous/Native,1860,0.7845,0.9721595048904419,1
Indigenous/Native,1870,-0.28832380952380954,-0.3568347522190639,21
Indigenous/Native,1880,-0.42593333333333333,-0.3311115900675456,3
Indigenous/Native,1890,0.1997,0.26133181651433307,3
Indigenous/Native,1900,0.19455,0.015027254819869995,2
Indigenous/Native,1930,0.015400000000000025,0.0035543888807296753,4
Indigenous/Native,1950,0.034720000000000015,0.6124697327613831,5
Indigenous/Native,1970,0.33359999999999995,0.27777602275212604,3
Indigenous/Native,2010,0.31301999999999996,0.2134267121553421,20
Latino/Hispanic,1830,-0.15445,0.006379485130310059,2
Latino/Hispanic,1840,-0.1998,-0.32903556029001874,3
Latino/Hispanic,1870,-0.15256,-0.4023013532161713,10
Latino/Hispanic,1880,-0.2699875,-0.26758570224046707,8
Latino/Hispanic,1900,-0.8282499999999999,-0.007059365510940552,2
Latino/Hispanic,1920,0.0,0.9943810105323792,1
Latino/Hispanic,1930,0.42595,0.1059761643409729,2
Latino/Hispanic,1940,-0.37382,-0.6626034259796143,5
Latino/Hispanic,1950,0.1682421052631579,0.4780289844462746,19
Latino/Hispanic,1970,0.2553,0.0436977744102478,2
Latino/Hispanic,1990,0.028425,-0.007223725318908691,8
Latino/Hispanic,2010,-0.3612,-0.998435914516449,1
White/European American,1770,-0.10350000000000001,-0.445222407579422,4
White/European American,1780,0.041900000000000014,-0.2597808241844177,3
White/European American,1790,-0.2294076923076923,-0.36571160646585316,13
White/European American,1800,0.40496,0.19640365839004517,5
White/European American,1820,0.29436,-0.1508908450603485,10
White/European American,1830,0.03821666666666667,-0.36334478110074997,48
White/European American,1840,-0.22753529411764706,-0.5019117173026589,17
White/European American,1850,-0.3471166666666667,0.13970193763573965,12
White/European American,1860,-0.19865116279069767,-0.3783437512641729,43
White/European American,1870,-0.15192,-0.5197973660060338,35
White/European American,1880,-0.23321,-0.6129025876522064,10
White/European American,1890,0.12301999999999999,-0.5832359313964843,5
White/European American,1900,-0.06643684210526314,-0.5321568752589979,19
White/European American,1910,-0.6924,-0.9542440474033356,2
White/European American,1920,0.1489,0.26121845096349716,8
White/European American,1930,-0.15975384615384616,-0.2511272980616643,13
White/European American,1940,-0.7017666666666668,0.27180800835291546,3
White/European American,1950,-0.207288,-0.25960344552993775,25
White/European American,1970,0.12178,0.26570281982421873,5
White/European American,1990,0.198925,0.4977515786886215,4
White/European American,2010,-0.3612,-0.998435914516449,1
